point,temperature,humidity
강릉,16.5,53
강진군,10.0,61
강화,9.4,57
거제,17.2,49
거창,11.7,38
경주시,18.6,35
고산,10.0,84
고창,7.0,57
고창군,7.8,56
고흥,11.5,42
광양시,13.3,44
광주,9.3,52
구미,15.1,40
군산,7.7,66
금산,10.5,55
김해시,18.8,39
남원,9.5,55
남해,15.5,45
대관령,8.7,59
대구,17.3,46
대전,12.2,44
동두천,10.9,57
동해,12.7,75
목포,7.9,67
문경,12.5,45
밀양,17.4,37
백령도,6.3,49
보령,6.8,64
보성군,11.4,58
보은,11.7,46
봉화,12.4,40
부산,19.0,28
부안,7.2,71
부여,9.2,53
북강릉,12.8,63
북창원,18.4,36
북춘천,13.1,47
산청,12.1,40
상주,13.8,47
서귀포,17.0,54
서산,7.5,61
서울,10.2,60
성산,11.2,67
세종,9.3,51
속초,16.4,37
수원,8.5,70
순창군,9.1,57
순천,11.2,53
안동,14.6,40
양산시,18.7,40
양평,11.9,52
여수,15.5,42
영광군,6.8,62
영덕,16.9,31
영월,12.4,43
영주,11.8,43
영천,16.6,43
완도,10.7,64
울릉도,13.3,83
울산,19.0,46
울진,17.6,35
원주,11.6,51
의령군,16.2,32
의성,16.1,40
이천,10.4,61
인제,12.8,44
인천,9.5,48
임실,7.8,58
장수,7.8,54
장흥,10.6,62
전주,7.6,60
정선군,12.8,41
정읍,7.3,59
제주,11.1,71
제천,10.8,54
진도군,8.9,67
진주,15.6,36
창원,17.5,26
천안,9.1,58
철원,10.6,55
청송군,15.8,34
청주,10.4,46
추풍령,11.5,46
춘천,13.1,45
충주,10.7,51
태백,10.9,44
통영,16.8,47
파주,10.5,52
포항,19.2,35
함양군,11.2,44
합천,15.3,34
해남,8.5,64
홍성,7.6,57
홍천,13.0,44
흑산도,7.9,73
