차량번호,차종,차량_빈자리,노선_아이디,정류소_아이디
경기70사1155,3,44,233000031,202000217
경기70사1143,3,39,233000031,277103323
경기73사2698,3,40,233000031,202000217
경기70사1197,3,42,233000031,202000217
경기70사1153,3,0,233000031,277103158
경기70사1129,3,36,233000031,277103200
경기70사1125,3,21,233000031,200000200
경기70사1502,3,36,233000031,200000075
경기70사1111,3,26,233000031,277103205
경기70사1139,3,0,233000031,200000073
경기70사1109,3,34,233000031,121001315
경기70사1149,3,0,233000031,277103204
경기70사1126,3,21,233000031,200000185
경기78아9376,3,45,233000031,202000217
경기70사1128,3,45,233000031,121001315
경기70사1124,3,0,233000031,220000009
경기70사1161,3,29,233000031,200000200
경기70사1108,3,36,233000031,277103221
경기79사4600,3,6,233000031,277102049
경기70사1130,3,0,233000031,220000009
경기70사1154,3,40,233000031,200000187
경기70사1150,3,0,233000031,200000145
경기70사1501,3,41,233000031,202000204
경기70사1142,3,33,233000031,202000211
